Rang,Zone H3,Accidents,Charge,Sév. moy.,Aléa local (2A),Lift,Équipement présent,Aménagement recommandé,Impact estimé
5,8829a56c55fffff,2127,5409,2.543,railway,30.38,"junction, railway, station",sécuriser le passage à niveau (barrières/feux),782.0
18,8829a1d121fffff,1676,3975,2.372,railway,2.55,"junction, traffic_signal",sécuriser le passage à niveau (barrières/feux),616.0
19,8829a56f37fffff,1543,3931,2.548,railway,69.81,"railway, station",sécuriser le passage à niveau (barrières/feux),567.0
28,8829a56c51fffff,1526,3591,2.353,railway,39.69,"junction, traffic_signal, railway, station",sécuriser le passage à niveau (barrières/feux),561.0
36,8829a569d3fffff,1376,3341,2.428,railway,19.0,"junction, traffic_signal, railway, station",sécuriser le passage à niveau (barrières/feux),506.0
45,882830813dfffff,1356,3181,2.346,railway,22.34,"junction, railway",sécuriser le passage à niveau (barrières/feux),499.0
40,8829a56999fffff,1329,3267,2.458,railway,3.68,traffic_signal,sécuriser le passage à niveau (barrières/feux),489.0
30,8829a1d2b1fffff,1600,3542,2.214,railway,5.38,"junction, crossing, traffic_signal, railway",sécuriser le passage à niveau (barrières/feux),365.0
38,8829a56c61fffff,1415,3304,2.335,railway,25.73,"crossing, traffic_signal, railway, station",sécuriser le passage à niveau (barrières/feux),323.0
21,8829a0aec7fffff,1932,3911,2.024,no_exit,50.44,"junction, no_exit",sécuriser passage piéton,295.0
15,8829a0b0dbfffff,1815,4289,2.363,no_exit,3.08,junction,sécuriser passage piéton,277.0
7,8829a1d283fffff,2201,5321,2.418,traffic_calming,2.97,"junction, traffic_signal",sécuriser passage piéton,258.0
20,8829a1d657fffff,1638,3918,2.392,station,8.65,"junction, station",installer des feux,244.0
23,8829a56c3bfffff,1548,3775,2.439,station,23.93,"crossing, stop, station",installer des feux,231.0
14,88283081e1fffff,1735,4302,2.48,bump,21.94,"junction, crossing, traffic_signal",stop / cédez-le-passage,227.0
17,8829a18859fffff,1728,4056,2.347,bump,6.03,"crossing, traffic_signal",stop / cédez-le-passage,226.0
39,8829a1d70dfffff,1419,3285,2.315,no_exit,1.72,junction,sécuriser passage piéton,217.0
29,8829a56e41fffff,1406,3563,2.534,station,4.98,"junction, crossing, station",installer des feux,210.0
27,8829a1d26dfffff,1444,3614,2.503,bump,1.93,"junction, traffic_signal",sécuriser passage piéton,207.0
34,8829a1d705fffff,1369,3372,2.463,station,7.77,"junction, station",installer des feux,204.0
41,8828309b1dfffff,1382,3266,2.363,bump,23.01,"junction, crossing, traffic_signal, station",stop / cédez-le-passage,181.0
35,8829a1d625fffff,1592,3367,2.115,station,1.73,"junction, traffic_signal",sécuriser passage piéton,156.0
2,8829a1d663fffff,2543,6350,2.497,junction,2.3,junction,sécuriser passage piéton,138.0
3,8829a1d741fffff,2431,5658,2.327,junction,1.8,junction,sécuriser passage piéton,132.0
8,8829a1d719fffff,2323,4760,2.049,junction,2.46,junction,sécuriser passage piéton,126.0
33,8829a19b3bfffff,1359,3424,2.519,traffic_signal,5.46,traffic_signal,modération de trafic (ralentisseurs),122.0
48,8829a19b63fffff,1266,3112,2.458,traffic_signal,1.64,"crossing, traffic_signal",modération de trafic (ralentisseurs),114.0
4,8828308017fffff,2174,5601,2.576,stop,22.47,"junction, stop",modération de trafic (ralentisseurs),113.0
11,8829a0b559fffff,2079,4666,2.244,junction,3.37,junction,sécuriser passage piéton,112.0
26,8829a561e5fffff,1423,3616,2.541,junction,2.1,junction,sécuriser passage piéton,77.0
50,8829a199dbfffff,1262,3084,2.444,crossing,4.41,"crossing, traffic_signal",modération de trafic (ralentisseurs),76.0
49,8828347101fffff,1346,3106,2.308,junction,2.37,junction,sécuriser passage piéton,73.0
31,8829a1d66bfffff,1495,3539,2.367,station,12.76,"crossing, traffic_signal, railway, station",stop / cédez-le-passage,72.0
32,8829a19831fffff,1466,3491,2.381,amenity,4.62,"junction, crossing, traffic_signal, station",stop / cédez-le-passage,41.0
43,8829a56ce5fffff,1442,3193,2.214,amenity,3.73,"junction, crossing, traffic_signal",stop / cédez-le-passage,40.0
42,8829a56c6bfffff,1391,3230,2.322,diffus,1.1,traffic_signal,investiguer facteur humain (vitesse / contrôle),0.0
6,8829a1983dfffff,2163,5348,2.472,bump,11.44,"crossing, stop",déjà équipé — revoir géométrie / abords,0.0
47,8828309b45fffff,1289,3124,2.424,bump,86.15,"junction, crossing, stop, traffic_signal, bump, traffic_calming",déjà équipé — revoir géométrie / abords,0.0
46,8829a0a5d1fffff,1555,3151,2.026,diffus,0.82,junction,investiguer facteur humain (vitesse / contrôle),0.0
9,8829a1d109fffff,2085,4707,2.258,diffus,0.91,junction,investiguer facteur humain (vitesse / contrôle),0.0
44,8829a1d731fffff,1379,3191,2.314,diffus,0.95,junction,investiguer facteur humain (vitesse / contrôle),0.0
10,8829a56839fffff,2099,4689,2.234,diffus,0.92,junction,investiguer facteur humain (vitesse / contrôle),0.0
12,8829a1d353fffff,1860,4375,2.352,diffus,1.44,"junction, traffic_signal",investiguer facteur humain (vitesse / contrôle),0.0
13,8829a1dac9fffff,1733,4331,2.499,diffus,0.92,junction,investiguer facteur humain (vitesse / contrôle),0.0
16,8829a5689bfffff,1700,4259,2.505,diffus,0.52,junction,investiguer facteur humain (vitesse / contrôle),0.0
37,8829a1d291fffff,1389,3313,2.385,diffus,0.87,"junction, traffic_signal",investiguer facteur humain (vitesse / contrôle),0.0
22,8829a18851fffff,1688,3898,2.309,diffus,1.08,junction,investiguer facteur humain (vitesse / contrôle),0.0
24,8829a56f69fffff,1616,3682,2.278,diffus,1.23,junction,investiguer facteur humain (vitesse / contrôle),0.0
25,8829a56e99fffff,1536,3666,2.387,diffus,1.41,"junction, traffic_signal",investiguer facteur humain (vitesse / contrôle),0.0
1,8829a56997fffff,2861,7236,2.529,diffus,0.63,junction,investiguer facteur humain (vitesse / contrôle),0.0
