rank,h3_cell,n_accidents,charge,avg_severity,street_km,n_intersections,charge_per_km,type_zone,dominant,lift,equip_present,amenagement,impact_graves_evites
2,8829a1d663fffff,2543,6350,2.497,15.29,67.0,415.33,réseau étendu (volume diffus),junction,2.3,junction,stop / cédez-le-passage,504.8
3,8829a1d741fffff,2431,5658,2.327,11.7,58.0,483.77,point noir concentré,junction,1.8,junction,stop / cédez-le-passage,482.6
8,8829a1d719fffff,2323,4760,2.049,10.4,52.0,457.5,point noir concentré,junction,2.46,junction,stop / cédez-le-passage,461.1
5,8829a56c55fffff,2127,5409,2.543,12.65,58.0,427.55,réseau étendu (volume diffus),railway,30.38,"junction, railway, station",sécuriser le passage à niveau (barrières/feux),427.9
11,8829a0b559fffff,2079,4666,2.244,16.85,60.0,276.95,réseau étendu (volume diffus),junction,3.37,junction,stop / cédez-le-passage,412.7
18,8829a1d121fffff,1676,3975,2.372,7.91,32.0,502.33,point noir concentré,railway,2.55,"junction, traffic_signal",sécuriser le passage à niveau (barrières/feux),337.2
19,8829a56f37fffff,1543,3931,2.548,10.04,52.0,391.7,réseau étendu (volume diffus),railway,69.81,"railway, station",sécuriser le passage à niveau (barrières/feux),310.4
21,8829a0aec7fffff,1932,3911,2.024,3.73,14.0,1047.41,point noir concentré,no_exit,50.44,"junction, no_exit",sécuriser passage piéton,309.6
28,8829a56c51fffff,1526,3591,2.353,10.24,57.0,350.74,réseau étendu (volume diffus),railway,39.69,"junction, traffic_signal, railway, station",sécuriser le passage à niveau (barrières/feux),307.0
15,8829a0b0dbfffff,1815,4289,2.363,8.24,46.0,520.54,point noir concentré,no_exit,3.08,junction,sécuriser passage piéton,290.8
7,8829a1d283fffff,2201,5321,2.418,10.82,53.0,491.9,point noir concentré,traffic_calming,2.97,"junction, traffic_signal",sécuriser passage piéton,283.9
26,8829a561e5fffff,1423,3616,2.541,5.71,30.0,633.65,point noir concentré,junction,2.1,junction,stop / cédez-le-passage,282.5
36,8829a569d3fffff,1376,3341,2.428,9.18,61.0,364.04,réseau étendu (volume diffus),railway,19.0,"junction, traffic_signal, railway, station",sécuriser le passage à niveau (barrières/feux),276.8
45,882830813dfffff,1356,3181,2.346,,,,n/d (hors top OSM),railway,22.34,"junction, railway",sécuriser le passage à niveau (barrières/feux),272.8
40,8829a56999fffff,1329,3267,2.458,9.46,56.0,345.2,réseau étendu (volume diffus),railway,3.68,traffic_signal,sécuriser le passage à niveau (barrières/feux),267.4
49,8828347101fffff,1346,3106,2.308,,,,n/d (hors top OSM),junction,2.37,junction,stop / cédez-le-passage,267.2
39,8829a1d70dfffff,1419,3285,2.315,10.08,58.0,325.88,réseau étendu (volume diffus),no_exit,1.72,junction,sécuriser passage piéton,227.4
