h3_cell,n_accidents,avg_severity,n_junction,pct_unequipped,junction_priority
8829a56997fffff,2861,2.529,203,100.0,1.0
8829a1d663fffff,2543,2.497,651,96.6,0.8479
8829a56c55fffff,2127,2.543,351,88.6,0.6623
8829a0b559fffff,2079,2.244,751,99.2,0.6396
8829a56839fffff,2099,2.234,218,96.8,0.6272
8829a1d741fffff,2431,2.327,459,78.2,0.6115
8829a0b0dbfffff,1815,2.363,132,99.2,0.5882
8829a1dac9fffff,1733,2.499,172,97.7,0.5846
8829a1d719fffff,2323,2.049,618,86.9,0.5716
8829a1d109fffff,2085,2.258,202,86.1,0.5603
8829a5689bfffff,1700,2.505,97,94.8,0.5582
8829a18851fffff,1688,2.309,205,92.7,0.4992
8829a561e5fffff,1423,2.541,317,97.2,0.4855
8829a1d657fffff,1638,2.392,573,86.4,0.4677
8829a56f69fffff,1616,2.278,221,88.2,0.4489
8829a0acc7fffff,1219,2.459,80,100.0,0.4141
8828347101fffff,1346,2.308,349,94.0,0.4033
8829a03309fffff,1232,2.428,65,96.9,0.4006
8829a00e51fffff,1263,2.278,208,100.0,0.3975
882830813dfffff,1356,2.346,321,89.1,0.3916
