rank,h3_cell,n_accidents,avg_severity,pct_severe,risk_score,n_junction,n_traffic_signal,n_crossing,n_stop
1,8829a56997fffff,2861,2.529,51.73,1.0,203,0,0,0
2,8829a1d663fffff,2543,2.497,48.13,0.8775,651,16,22,0
3,8829a1d741fffff,2431,2.327,31.8,0.7819,459,100,38,0
4,8828308017fffff,2174,2.576,59.8,0.774,788,0,0,1383
5,8829a56c55fffff,2127,2.543,53.27,0.7475,351,40,27,30
6,8829a1983dfffff,2163,2.472,47.06,0.739,50,74,219,123
7,8829a1d283fffff,2201,2.418,41.16,0.7353,557,371,0,25
8,8829a1d719fffff,2323,2.049,4.22,0.6578,618,81,60,2
9,8829a1d109fffff,2085,2.258,24.46,0.6504,202,28,1,0
10,8829a56839fffff,2099,2.234,22.25,0.648,218,7,0,0
11,8829a0b559fffff,2079,2.244,23.33,0.6448,751,6,2,2
12,8829a1d353fffff,1860,2.352,34.84,0.6046,305,144,5,0
13,8829a1dac9fffff,1733,2.499,49.39,0.5985,172,0,0,4
14,88283081e1fffff,1735,2.48,47.67,0.5945,401,137,143,0
15,8829a0b0dbfffff,1815,2.363,36.03,0.5927,132,1,0,0
16,8829a5689bfffff,1700,2.505,50.35,0.5885,97,5,0,0
17,8829a18859fffff,1728,2.347,33.85,0.5605,23,105,92,81
18,8829a1d121fffff,1676,2.372,36.69,0.5493,305,172,4,0
19,8829a56f37fffff,1543,2.548,54.31,0.5432,6,15,0,1
20,8829a1d657fffff,1638,2.392,38.95,0.5414,573,65,72,78
21,8829a0aec7fffff,1932,2.024,2.28,0.5404,149,20,77,0
22,8829a18851fffff,1688,2.309,30.27,0.5386,205,15,2,10
23,8829a56c3bfffff,1548,2.439,43.35,0.5216,38,72,442,264
24,8829a56f69fffff,1616,2.278,26.73,0.5088,221,26,0,0
25,8829a56e99fffff,1536,2.387,37.89,0.5066,223,117,12,1
26,8829a561e5fffff,1423,2.541,50.46,0.4997,317,1,0,9
27,8829a1d26dfffff,1444,2.503,49.86,0.4994,151,92,0,3
28,8829a56c51fffff,1526,2.353,34.93,0.4962,212,191,28,4
29,8829a56e41fffff,1406,2.534,53.06,0.4923,147,58,116,0
30,8829a1d2b1fffff,1600,2.214,20.44,0.4894,128,119,83,0
31,8829a1d66bfffff,1495,2.367,36.19,0.489,15,161,176,27
32,8829a19831fffff,1466,2.381,37.99,0.4824,184,80,117,17
33,8829a19b3bfffff,1359,2.519,51.58,0.4731,50,536,44,20
34,8829a1d705fffff,1369,2.463,44.92,0.4659,78,44,10,0
35,8829a1d625fffff,1592,2.115,11.24,0.4652,162,107,60,1
36,8829a569d3fffff,1376,2.428,42.22,0.4616,74,100,4,4
37,8829a1d291fffff,1389,2.385,37.37,0.4578,127,100,0,40
38,8829a56c61fffff,1415,2.335,33.22,0.4565,58,161,134,0
39,8829a1d70dfffff,1419,2.315,30.8,0.4539,96,24,16,0
40,8829a56999fffff,1329,2.458,45.3,0.4514,63,67,62,2
41,8828309b1dfffff,1382,2.363,36.83,0.4513,405,156,161,4
42,8829a56c6bfffff,1391,2.322,32.06,0.4463,7,131,0,0
43,8829a56ce5fffff,1442,2.214,21.08,0.4412,131,310,98,1
44,8829a1d731fffff,1379,2.314,29.8,0.4409,142,41,14,20
45,882830813dfffff,1356,2.346,35.55,0.4395,321,32,35,1
46,8829a0a5d1fffff,1555,2.026,2.38,0.4354,130,39,0,0
47,8828309b45fffff,1289,2.424,43.83,0.4317,190,279,330,81
48,8829a19b63fffff,1266,2.458,45.18,0.43,23,169,85,14
49,8828347101fffff,1346,2.308,31.72,0.4292,349,21,20,0
50,8829a199dbfffff,1262,2.444,44.22,0.4261,25,269,304,8
