rank,h3_cell,n_accidents,avg_severity,charge,dominant_A,lift_A,driver_B,shap_B,accord
1,8829a56997fffff,2861,2.529,7236,diffus,0.63,junction,2219.4,False
2,8829a1d663fffff,2543,2.497,6350,junction,2.3,junction,3534.6,True
3,8829a1d741fffff,2431,2.327,5658,junction,1.8,junction,2727.2,True
4,8828308017fffff,2174,2.576,5601,stop,22.47,junction,3441.8,False
5,8829a56c55fffff,2127,2.543,5409,railway,30.38,junction,2118.3,False
6,8829a1983dfffff,2163,2.472,5348,bump,11.44,junction,1091.7,False
7,8829a1d283fffff,2201,2.418,5321,traffic_calming,2.97,junction,2569.4,False
8,8829a1d719fffff,2323,2.049,4760,junction,2.46,junction,3379.1,True
9,8829a1d109fffff,2085,2.258,4707,diffus,0.91,junction,2172.2,False
10,8829a56839fffff,2099,2.234,4689,diffus,0.92,junction,1741.4,False
11,8829a0b559fffff,2079,2.244,4666,junction,3.37,junction,3576.6,True
12,8829a1d353fffff,1860,2.352,4375,diffus,1.44,junction,2212.0,False
13,8829a1dac9fffff,1733,2.499,4331,diffus,0.92,junction,1517.0,False
14,88283081e1fffff,1735,2.48,4302,bump,21.94,junction,2286.8,False
15,8829a0b0dbfffff,1815,2.363,4289,no_exit,3.08,junction,1372.8,False
16,8829a5689bfffff,1700,2.505,4259,diffus,0.52,junction,1066.3,False
17,8829a18859fffff,1728,2.347,4056,bump,6.03,junction,748.3,False
18,8829a1d121fffff,1676,2.372,3975,railway,2.55,junction,2267.1,False
19,8829a56f37fffff,1543,2.548,3931,railway,69.81,traffic_signal,616.1,False
20,8829a1d657fffff,1638,2.392,3918,station,8.65,junction,3223.1,False
21,8829a0aec7fffff,1932,2.024,3911,no_exit,50.44,junction,1462.4,False
22,8829a18851fffff,1688,2.309,3898,diffus,1.08,junction,2130.7,False
23,8829a56c3bfffff,1548,2.439,3775,station,23.93,junction,855.8,False
24,8829a56f69fffff,1616,2.278,3682,diffus,1.23,junction,1865.5,False
25,8829a56e99fffff,1536,2.387,3666,diffus,1.41,junction,1922.3,False
26,8829a561e5fffff,1423,2.541,3616,junction,2.1,junction,2116.0,True
27,8829a1d26dfffff,1444,2.503,3614,bump,1.93,junction,1576.3,False
28,8829a56c51fffff,1526,2.353,3591,railway,39.69,junction,1724.4,False
29,8829a56e41fffff,1406,2.534,3563,station,4.98,junction,1672.4,False
30,8829a1d2b1fffff,1600,2.214,3542,railway,5.38,junction,1546.5,False
31,8829a1d66bfffff,1495,2.367,3539,station,12.76,traffic_signal,997.4,False
32,8829a19831fffff,1466,2.381,3491,amenity,4.62,junction,1501.6,False
33,8829a19b3bfffff,1359,2.519,3424,traffic_signal,5.46,traffic_signal,1323.4,True
34,8829a1d705fffff,1369,2.463,3372,station,7.77,junction,1102.5,False
35,8829a1d625fffff,1592,2.115,3367,station,1.73,junction,1544.0,False
36,8829a569d3fffff,1376,2.428,3341,railway,19.0,junction,980.2,False
37,8829a1d291fffff,1389,2.385,3313,diffus,0.87,junction,1545.1,False
38,8829a56c61fffff,1415,2.335,3304,railway,25.73,junction,989.2,False
39,8829a1d70dfffff,1419,2.315,3285,no_exit,1.72,junction,1095.8,False
40,8829a56999fffff,1329,2.458,3267,railway,3.68,junction,1049.3,False
41,8828309b1dfffff,1382,2.363,3266,bump,23.01,junction,2313.7,False
42,8829a56c6bfffff,1391,2.322,3230,diffus,1.1,traffic_signal,746.0,False
43,8829a56ce5fffff,1442,2.214,3193,amenity,3.73,traffic_signal,1173.9,False
44,8829a1d731fffff,1379,2.314,3191,diffus,0.95,junction,1672.4,False
45,882830813dfffff,1356,2.346,3181,railway,22.34,junction,2218.5,False
46,8829a0a5d1fffff,1555,2.026,3151,diffus,0.82,junction,1594.8,False
47,8828309b45fffff,1289,2.424,3124,bump,86.15,junction,1361.7,False
48,8829a19b63fffff,1266,2.458,3112,traffic_signal,1.64,traffic_signal,1012.9,True
49,8828347101fffff,1346,2.308,3106,junction,2.37,junction,2094.5,True
50,8829a199dbfffff,1262,2.444,3084,crossing,4.41,traffic_signal,1128.1,False
